Category,Message
ham,  tenegagerew  begemtaw rektew bihonu mawek  awontawi  ke  netsa mels 
ham, kemelekate akrbot gar  flagot   mecheresha bemikerarebubet gize tenaten      alachaw
ham,  
ham, chewa sew negn enam beakbrot ena beakbrot 
ham,enante sewoch 
ham,mnm neger 
ham,tena   sra       lememeles    ahun  
ham,haha    wste  
spam,ebakwon  agelgelot tewekarachn be      tere genzeb    shlmat 
ham,   gize  ahun agegnalehu
ham,ene  bet   gen   metergom katefach 
spam,erswo    gnaw nehase  ken 
ham,  sewochn lige  tlk neger   wechim  bemangnawm gize   samnt  
ham,  bemecheresham tmhrtun  
ham,berasu   gen  berzo hulu ors mestet kemichl sew gar  
ham,   amet  tesfa  emegnalehu
ham,melkam tewat   ken alot
ham, sewoch tarik agegntewal
ham,srawo   slezih nege be  piem orcharr  gar 
ham, ket  mshth  letewesene gize nege  tesfa  neger gen  mefses    
ham,  ena      
ham,lakhulh ena    
ham,tena    
ham,  betesaka huneta be     ena     hisab keri hisab             
ham,  
ham,be  eshi wste telewach 
ham,       n    
ham,  kabine stageba panete             apartamawa   
ham,  kete  wsha
ham,ebakwon kezare befit ena  kezare gar tssr  asrmor   hisabun temelash 
ham,huletum  tlk shekmochn ewetalehu slehonem  
ham,  betam tlk ereft  tesfa  semister 
ham,slezih egna hulgize mawrat enchlalen
ham,  teru   
ham,      
ham,arif  bet 
ham,bemecheresham   lemesal  
ham, tekit lelitoch  
ham,kelal   teru new teru 
ham,kemegabit  gar fetena  alebgn
ham,awo erswo mehon  ahun   etiemwon metekem     neger gen lemangnawm kalegn  erswo siseru  
ham,eshi chager  
ham,  wste     oeses   oeses metekem 
ham,  
ham, t   beergete mnm neger  romantik  tnsh  chukhet   betam teru  
spam,ke              ke     bcha
ham,btterugn kelb  sew  sew bcha 
spam,bekrbu   agar      netsa  horo  kokeb mlkt  
ham,  ilama 
ham,   tebk new  bikoz memhr tmhrt ena  fetenan  gen   fetenan ena amenzn  tmhrtochn  
ham, teru tewat ahun ene negn
ham,begaringera wste  ena    meshager  gon       ena  mebt 
ham,  gomachn bota 
ham, batri  awo ene negn
ham, ezih  hul gize besra bota  
spam,tsehuf zare  sew  eske  ken   mashkormem  ena   sam           
ham,oh        
ham, beawtobus  wste    tnsh ehonalehu
ham, 
ham,     gen gelesebun   gar    hul gize tkkl 
spam, ke  gar  misterawi  alachaw  man      mstirawi  lalchaw ke  
ham,lache 
ham,    tesertwal
ham, zm blew   neber malet  gen   
ham,mnm  ene  bagenet     ahun gen ene betam    hulum neger kezare  hulum neger
ham,arogew  srawon 
ham,betam   alegn    mansheratechawoch 
ham,ahun eshi blew  
ham,kalis be  gna  wste wef 
ham, oh  ekule lelit   tetegen ena erswo beminekawot gize    teru msht enklf 
spam, alewot        ena netsa           
ham,    ena upekk  
ham,wen ur  bim wel   menora tennet keftegna  
ham,mn    
ham,ke  kenat  ena  wik      samnt    neger gen  mesmero  negerochwon lemagegnet  n legonawo  
ham,   sthon
ham,ahun kememelesu befit   befit  
ham, betam teru htsan   teru chukhet
ham,  
spam,egnan lemanegager mokern   akrbot mlash lemagegnet mlashwon lemagegnet   gize awtaremereboch      
ham,ke  ategeb ategeb   meche new  meche 
ham,awon
ham, hono ahun berase     eseses gena    
ham,     
spam, ene betam  negn  lalemestet  mzgeba mzgeba  
ham,lemn abrewachaw 
ham, gize guzon  
ham,ergetegna  ahunm esun   new
spam,  teri  teri  teri  telew   netsa  ahun lememrete  klipe   kbeb eske          
ham,  
spam,    newariwochn gebeta     ena mangnawnm keftegna terat   teri   melekt  netsa 
ham,     hunetachnn enwesnalen
ham,lelit lelela ken  tewat  behone    chereroch fegege  ena     chnketochwon 
spam, gursha    ewnetegna   mashenef  mels  kelal      techemari  
ham,  ahunm  mekina  
ham,mnm tekawmo  bief 
ham, 
ham, wste    ef ef ef wste lemabarer 
ham, betekitu wste 
ham,lk  mn  mgeb 
ham,hulum  be wste  bealat mulu bemulu  
ham, teblo 
ham,wen wel wel wel  wel  leraswo  new  gen gelesebu betam   lemn melkachaw  melbes
ham,  rket 
ham,ok 
ham,awo   sew kalefew msht  sew kasalefegn msht     sew asawkalehu ena 
ham, ene zare ene zare bete  blo kawetahu
ham,eshi 
ham, htsan keset  gar trisin   fok    bezih fon wste  bebetu wste  teri ena seat 
ham,   leene bzu malet     alem   alem   
ham,    
ham, lesmh 
ham,haf    ew kam  
ham,   tnsh 
ham,erswo betam bzu newot
ham,ene  melektun 
spam,  ahun netsa kamerawon  ena letamagnwo letamagnnetwo  ena sim       gnaefbibibi
ham,erswo  huneta kalhone besteker guroro  tegebi 
ham,enen   ashkku  gen ashkelegn  gen  mecheresha   sew   tenesche  
ham,ahun slkun memrete  melekt 
ham,  tomo    samntawiw gize 
ham, lemecheresha gize  sew kenafl gar  gize  sew kef  sew  
ham,oh ena bemakezkezhawo wste  mgeb  mata lemeblat mewtat 
ham,esu    new
spam, ken     em       n                       ewr ewr kenoch 
ham,awo  ene  neger  ene  metsehaf mehon alebet  asbalehu 
ham, megenagnet 
ham,   negerochn lemegezat bechnklatu   
spam,        ena sportwon   ena askign tsehufwon ke  gar 
ham,garazh kulfoch     
ham,zare   enen  eht       mrte  mrte 
spam,asmategna  besamntu  wste    ahun be       winsik      samnt
ham, genzebun  teri  blewal neger gen esu kesamntu mecheresha befit beergetegnnet  new 
ham, keene gar  ken ene    leene leene     alegn  tesfa      tesfa 
ham, ken  ken 
ham,  betam  
ham,emmm  gemt wste   
ham,beewnetu metefo  mnm  
spam,  slk      gize  kamera  lemazemen mebt    letenkesakash mazemegnaw  netsa 
ham,buna  egemtalehu 
ham,melkam  beal leante   ene  mesam  
ham,  lemn    ena msawon lemn   haha
ham, us bit eske bit    awtobusoch       temoltew 
ham,gurum   bebetu wste    behone bota ligenagn      bererawochn  samnt
ham,chger  
ham,mnm teriwoch 
ham,   kfl  
ham,teru mlkt new  ene  setochn bemanbeb    mezgeb tawkegnalachhu
ham, sikomu 
ham,ene  tsehuf   mehon malet   brhan 
ham,    
ham,mnalbat tomon magegnet echl       
spam,   bcha   kuter      mesmer  
ham,keaseriwo  srawo  kuteren bemeserez gelawineten  keene gar linoruwot  mangnawm  kef kef       tekotatariwo riport 
spam, ken  wste ke    mashenef ena agarwon  zemenachaw guzo        
ham, bet negn   ahunm 
ham,   ena kezih befit 
ham,metegnat 
ham,  
ham,tkkl  slk  
ham,eshi betam teru neger 
ham,ltefu     wochu tsehufoch linorwot    hel heli karolin bemecheresha   
ham,   
ham,  flagot 
ham,ehte tnant bermel hulet zur wste hulet zur 
ham,    telemam
ham,tmht    wste kalagegnehu kuteren   ze  
ham,ahun  tnsh  chger 
spam,shakara         be      
ham,beka erswon   beergete  wer 
ham,nah    mechem bihon  alawkm
ham, seat ena gemash wste  wste kalhonu ene  
ham,zare  bihon beanchi tekoteche  mechem bihon basasat    lk usl    bemeseretu teru negn
ham,enante sewoch sewoch lealkol mn   mechem  ena ene bearem  mn   masalef  lemawek  new
ham,      ke   befit 
ham,leerswo    lemalet lemeterat 
spam, alewot        ena netsa           
spam,  mizan beahunu gize   new  kezih  genzebn kef   bcha ke           
ham,  gize msht  eseralehu ena   gize sra ate slehonku hul gize   ate kal    
ham, ezih  ste     
ham,ha
ham,oh eshi mnm perofeshnal 
ham,ahun  hunetan 
ham,ezih  amet lemecheres bememoker  erswon lemegenagnet begugut etebkalehu 
ham, keseat    ken mn   enketelalen enam   wste   fkre   hulem
ham,   mnm chnket 
spam,    gize   ena  ena netsa   hulet  ena   tenkesakash slk kuter    
spam, knash    melektochn melso makom  agelgelotoch 
ham,  
ham,  bemihonubet gize 
ham,tena       nafkognal enam ahun keenklfe  gar bealga  bthonu   enen  
ham,ene  alga  atefahalehu 
ham,ene  bet   ena     
ham,bewaga  ketesmamu enesun mekfel  ergetegna kalhonku kesewoch gar menegageren meketel   beewnetu lemegezat  ena mn  lemekfel   
spam,sle kelebet kter tezazwo enamesegenalen  wste       agelgelotochn be   bemangnawm gize  mzgeba mewtat 
ham,mn  menager tchlaleh
ham,limeleketut  
ham,     wste  wste bzu negeroch  negeroch alu
ham, kamezebesew   
ham,   geta siteragn  ene lk  ene     bezarew gize pab  ftegn 
ham, new lemn   erasun    mawek  mechenek  ergetegna  zegemtegna  fetenawoch    whawo meche   neger   neger  neger gen ene meketatelwon 
ham,awo    lemeketatel hulet  stegn
ham,    tenkake 
ham, ene  ehonalehu  be   agegnehu
spam,  ena     netsa blutuz bebrtukanama     slkoch   tenkesakash slk kuter    beteri    
ham,mister gugut   
ham, bota 
ham,  gize aznagn 
spam, amet gemash waga brtukanama mesmer  ena  gize kamera slkoch    lemazemen ke    tenkesakash slk  
ham,awo  msa bufe ahun   
ham, betam   
ham, slezih tekemete le   bcha   
ham,tewat bcha ene  
ham,awo  bebiro wste negn gen chlgewo wste lalefut tekit kenat wste   zk  alzegam
ham,gurawn     seat nachaw ena 
ham, shlmat  wer  wer  leahunu wer gize 
ham,beewnetu tegntew neber enam ahunm temelsew    tsehuf geri   kfatochwen wen  melekt 
ham,hul gize   wste  fotogerafoch befesbuk    betam kft sewoch wste   kflwo sel lemn  hono    
ham,melkam msht  al salam wali kikik
ham,emmm      ene beftenet ershawn  efelgalehu      mereb  magegnet 
spam,netsa  teri   eske  le           ke  gna netsa   eske        nachaw
ham, chechi   gar tenegageru
ham, krem 
ham,mnm   mnm  ezih binoruwot ezih 
ham,           seat wste 
ham,haha   sew lemashkerker sra   bzu  awkalehu
ham,ke  etiwoch gar ene eskezihm  eskezihm  hulum tenker  kmcht hulu   kemrte     buna  teru  gize  
ham,  metete    
ham,lebantope
ham,   tsehuf teftwal  lakiw teftwal    ken
ham,bezih samnt mecheresha  mawezachn betewesene  bekflachn 
ham,ene  neger  efelgalehu
ham,eshi  ene   n     n mezlel  sini  hin  blesh 
ham,bet    me
spam,   agelgelot    
ham, mn  
ham,eshi ahun  geb alegn
spam,netsa gebet    samntawi    ashenafiwn     
ham, betekit  wste    laklgn
spam,arma  ur fkregna    smochu belb  fkr sm  sm   lemsale  hewann       mnm  
ham, kalefew samnt erasu erasun 
spam, sew   agelgelotachnn  enam erswo  slkwo  mesmer  
ham, beholtel aha wste new  
spam, slk kuterwo be    wastna  mesmer     tkklegna   bcha
ham,   ena sle    neger lemekebel   agelaletse   chipelarkki   asmatawinet  ke  gnaw                 
ham,  
ham,  bota neh  
ham,aleagebab bematefat  mangnawm hmem lela mangnawm 
ham,      zare mnm mekina 
ham,  mekina   echlalehu    le        
ham,bebet wste  lorin 
ham,le awontawi  lelelew  mels lemestet bzuwn gize asra amst asmatawi  
spam,     kamera slk  teri  teriwoch kemolewoch    ke   ke     
ham,lepangel  
ham,ahun  lk  botl ena arem      
ham,melekt         alebgn          
ham,won    asr gize  asr etef  aschenaki neger  new
ham, mn  gize 
ham,    guzo teru        
ham,gen  ena   
ham,awo awo beewnetu  talak 
ham,ena keenklfe 
ham,ok  esun  gen ene betam teru eshoh ha  ene   laoo agegnehu 
ham,  
ham,       tu   chlota sehan  fkr  
ham,   ene memtat echlalehu gen ahun  geram bcha  botah  
ham,beteru huneta    bkat   ene    emmm  
ham, ena hulum neger  
ham,   ametat  
ham, 
ham,lezih tesfa msgana zare zare teru ken neberachhu
ham,  mastelalef  zrzr  
ham,eshi    neber gen bezih wer wste bruh amelekaket 
spam, alama       balebetoch                
ham,      
ham,emi won   blh set ena ene betam  ene  ene  ene  
ham,erswo  blh blh ena   wtet  tesfa  agenagnoch esun   ena  kft ena mrtu hulu  
ham,   metefo neger     
ham,betam  smet  
ham,  memot alebwo
ham,betam  bihon   ken egeziabhern lemamesgen techemari  
spam,   ahun letamagnwo netsa kamerawon       knash        mewcha
ham,   eshi eshi 
ham,eshi  babur   new
ham,talak  mestet ena mekebel       ena     mata  
ham,  tensheratach      neger bechrash 
ham,bskletwon meche 
ham,          
ham,bzu   
spam,eshi         ken     shlmatwon lemesebseb    mesmer      
ham,kechokhew  eske mn  gize 
ham,  genzebu   kegeba  banku teftafawn   sew testekaklwal       ena       bankoch  ena  
spam, mata mata    botawoch   ur hzbn  tlku  awtaremereb  be      
ham,betesebere lb wste teru mesmer   hulet gize   lela tebebegna   tebebegna negn  teru  
ham,eshi  asra amst       
ham,  
ham,wteret  mn  mangnawm 
ham,ke sichersu lela  gna mansat 
ham,enante  sewoch meche   slemtasebesb neger ale
ham, malet    wste 
ham,ka  tekit   sleenante   bezih gize   
ham, lolen bememelket 
ham,amesegenalehu   neger lemekmes etebkalehu 
ham,    weroge flash lilewtu 
ham,beewnetu ke  gon  gize 
spam,netsa melekt leagelgelot ena lechgetawoch netsa behonew kal benetsa mels bemestet netsa melekt  netsa  melektochn   n 
ham,    agatemeh
ham,beterat     kefelegek   slerasu  
ham,   melekt melak 
ham,  sew   ene emegnalehu
spam,    amet  sinima pasport le       rman  matrik  star tor  wezete hulum   
ham, besbsebaw   
ham, kfl      
ham,ahun netsa  ahun  
ham,mete agegne  
ham,  segno segno    
ham,keenesu mekakel   aregagete   
ham,ke  angol befit ket   
ham, kfl 
ham,kealem gar mewagat kelal  ketefabwot ketefabwot kehonut mekakel     kehone 
ham,meche meche 
ham, hakimwon 
ham,     
spam, 
ham,    wat wste  kezih wch  mnm neger  wste ekawochen    wat  
ham,mnalbat     park  bebete   bota lihon 
ham,ahun mawek  antoni     ena  ena   bet   egeza lemn     
ham,mn trgum 
ham,sle ene   ke   ke      tseteta  tsete   awakiwoch   kzkaze  kelal  mels 
ham,    amimon makalel kechalu ena   mukera mestet kefelegu
ham,peramer  aznalehu 
ham, eshi  tebale 
ham, 
spam, gize    giba   machawecha    shlmat wastna       pa    
ham,es  leersum mnm  
spam,   le  polis          
spam, msganawoch le    pinwo  new
ham,   kesabu msht  bzum chger       netsa smet     lbsochn mawek 
ham,bzuwn gize  wste  gen beawakiwoch wste  beawakiwoch wste  huneta tenkebakabi lihonu  ahun 
ham,gen  be   belela bota  lihon 
ham,echognalehu
ham,  n magegnet neber
ham, betam metefo  erswo kampasu  
spam, be     gursha  shlmat  erswon lemanegager    gna mukerachn  saten  
ham, ene        
spam,   waga waga   awo  abal tenkesakash sm       mlash 
ham,  set  
spam,bemiketelut   wste   ena hunetawoch ebakwon sertun    
ham,  erswo newot 
spam,   megelechawo le           gizew  
ham,zare      ken  mnm sra  
ham,    telemam
ham, 
ham,betewesene gize    weba new enam erswo       slehonem  fkren   ken 
ham,   ken    sraw  meriwochn  tesfa   sle mannete ena kebahr  telk asasabi mesam lakhu
ham,mnalbat mnalbat letewesene gize ezih    zare mata ena 
ham, mnalbat  tatoche enezihn hulu azraroch  ena mn   
ham,ummimma bzu   tafach lbe bzu  temelashoch  melkam  
ham,ene kebiro    betiperur 
spam,ke  werhawi mazezha       wer     getse     
ham,tawaki    beras metemamen     chlota  erswo newot   malet new
ham,gen      lela 
ham, seat   lemawtat 
ham,  alga  hona    gize    gize malef  bealga  tekemtew 
ham, lemangnawm 
ham,awkalehu neger gen ahun hotel magegnet  agegnehu gen        wek   memtate leene tafach new
ham, betam   ahun 
ham,tebk      
ham,eshi    neh  mulu gize  
ham,ene  kegebahu    wste lemegebat bemechereshaw  wste   mnalbatm kekke befit letewesene gize bibelugn neber  gen  wha betekebebubet gize mn  gize erswon masastawo    
ham, lk  sost kenat arem asebku
ham,ergetegna  keastawstawi ena  betam sltawi ena  asgerami ena  askign  mehala  
ham, mata mata   tetatn  ena  sra   mekenes  
ham,mnalbat rkash   metsehaf mnalbatm mnalbat mnalbat     blshu  pan    lihon 
ham,   miwteshn   getse eskezih  asfelagi new
ham,msa binorachhu bemesmer   
ham,  sil  
ham,  selochu   
ham,ani   hulgize   amerika new  ene     tlalech 
ham,selam   ene biro wste negn 
ham,kanese  i teru new teru 
ham,ene betam  betam 
spam, erswon lemanegager        shlmat wastna          pipiem
ham,      merebwo  genzeb llklwot   efelgalehu  emegnalehu 
ham,ene   chukhet    kezk akomu  metefo    n 
ham, alga   
ham,slezih  ene     mangnawm  fkre  fegegeta  ene  ena melkam ken htsan emertalehu  tesfa 
ham,     gar 
ham,   
ham,  lor      ekule ken ebet anorku    bet ahun kflen atsen     
ham,labratoche    
ham,berun mekfet 
ham,teriwon bemetebek 
ham, be    wste etebkalehu 
spam,  genzeb      
ham,kesamnt  slezih samnt keerswo gar bemekeraker   ena keahun  enem  neger 
ham,ene be  wste  ene echersalehu  
spam, slk kuterachn be     mesmer 
ham, gabcha  agatami hono beebab menkebakebu erswon  fkr gabcha befrhat ena beamare wste chfera 
ham, betam  
ham,eshi mnm neger ketenagerut neger gar melewete 
spam,egna lemanegager mokern le    le    kretawochachn melswon lemakreb mokern ena   slk  teri  ena  akerareb mlash 
ham, balebete     ken 
ham,slezih   znbalewon   tesfa  nuru
ham,ras mtat   ena lk ke  seat wste ke  seat  metekem 
ham,ene          em em em megenagnet enchlalen 
ham, ebakwon  gemashun mama  
ham,awo ke   
ham,ene besbseba wste    
spam,      n    suk
spam,   shlmat lemekebel  huneta  kemezegatu befit       
spam,   megelechawo le      em   le  fetari   gizew   
ham,ahunm  germa wste 
ham,  hono agegnchehalehu ena    eske mekom   bechrash      
ham, 
ham,melkam tewat   ken alot
spam,asfelagi  agelgelot   slk kuter    
ham, tewat  babur    bzu  ena  ttegnaleh
ham,ene    lemegezat 
ham,aemro   kezih  sunamiwoch kesoft  wste metegnat    me
ham,betwan  gize kelaku teru sew   
ham,sle esu menager gena genzeb 
ham,   ken emetalehu
ham,kemsa    
ham,tetenkeku ena bekrbu 
spam,         tek  
ham,lemalet malete mn malet new bezih  bankers aselchi new
ham, aemro  new 
ham,  imeme metete   tekemeta  
spam,ke  kenat       gize zenawoch ena wtetochn  wektawi   lak lak   n  
ham, chewata  hulum     ke  mels     kehone  sew beewnet    kelem betam teru  melslgn
ham,bzu tegegnawoch alugn
ham,kaks  zare   gen egna  techemari gize agegntenal gen egna  gizen lemagegnet bzu gize chukhet wo
ham,ene terahu ena hulunm      eta 
ham,melkam  ken  sil awkalehu neger gen ene  ena wbetwoch  aksten ena agotoch  mecheres  gna 
ham,esu     sewoch  kos   menger   hulum sewoch hulu  blew mawek   mlash seri 
ham,lebetesebe  
ham,ene meteche  n emertalehu  ketmhrtu    
ham,     huneta  abrew  slehonem   
ham, agegntenal      ha selam
ham,teru kalat  gen kalatoch bzu gize wste litewwot 
ham,aseltagn   meten beasra amst  wste  
ham,   negeroch   lihon 
ham,nah keteta  buchlawochn  metete mamtat kechalu  beewnetu keketeta genzeb  tekami kehone
ham,haha lemesmat    ena   le  gna   tekeflalehu
ham,    lemekoralel mn   
ham,      enesu fiten rezem lale gize    achachr achachr achachr achachr 
spam,      akababi wste   sewoch  kuter  netsa  netsa  bcha flega       sm
spam,   kuteroch ke    gar  kuter   shlmatwon lemekebel ke  
ham,ebakwon   selam 
ham,
ham,oh  melekt  leene   neber
ham, sebat meto kelemoch lesebat metowoch  eshi 
spam,      bepisiwo wste     
ham,ene betam askign new 
ham,fkregna    kenn  tesfa  fegegeta   
ham, seat    bet ahun betn  
ham, wste mn 
ham, seatat befit   
ham, ima beergetegnnet kemsganawo befit melso   meche  asawkwotalehu
ham,   wtetochn mesrat   sew  mulu lemabrat fegegetan  sew 
ham,mnalbat betekitu wste mawezawez
ham, betam    new
ham,  ena bebaburu   be  wste  teruw samnt
ham,kartun ena    ena   ena amenkta    sle 
ham,mn   kehone malet 
spam,   megelechawochwo le         le  fetari   gizew   
ham,mnm  imelwo 
spam,  genzeb            swi   pipiem
ham,teru  gize kerfafa ena  gize shakara ena  
ham,  gize lemeshesh  ene gen  tegnahu    
ham, bekant ketema wste    etse  
ham,betam 
ham, sewoch tarik agegntewal
ham, etse  tegest  mehonun 
ham, washa   metach neger gen   cherer  bot  wenzu   neger gen   znab  megenagneten malef  gen  enkbkabe      melak 
